*SUMMARY : SANT7001MZ                                                              DSSAT Cropping System Model Ver. 4.0.2.000     Nov 29, 2016; 12:44:12

!IDENTIFIERS................ TREATMENT.......... SITE INFORMATION............ DATES..................................  DRY WEIGHT, YIELD AND YIELD COMPONENTS...............................  WATER...............................................  NITROGEN......................................  ORGANIC MATTER....................  PHOSPHORUS............
@   RUNNO   TRNO R# O# C# CR TNAM                FNAM     WSTA.... SOIL_ID...    SDAT    PDAT    ADAT    MDAT    HDAT  DWAP  CWAM  HWAM  HWAH   BWAH  PWAM    HWUM  H#AM    H#UM  HIAM  LAIX  IR#M  IRCM  PRCM  ETCM  EPCM  ESCM  ROCM  DRCM  SWXM  NI#M  NICM  NFXM  NUCM  NLCM  NIAM  CNAM  GNAM  RECM  ONTAM   ONAM   OCTAM    OCAM  PI#M  PICM  PUPC  SPAM
        1      1  1  1  0 MZ SIMPLE TEMPLAT EXPE SANT0101 SANT7001 IB00000001 1970228 1970288 1970359 1971053 1971053   -99 10277  5192  5192      0  6923  0.3621  1434   204.8  0.51   2.4     0     0   776   591   281   310   197    83   181     0     0     0    97     0    29    68    46     0  20692  20692  212217  212217     0     0     0     0
        2      1  1  1  0 MZ SIMPLE TEMPLAT EXPE SANT0101 SANT7001 IB00000001 1971228 1971288 1971351 1972034 1972034   -99  9642  3876  3876      0  5411  0.2890  1341   191.6  0.40   2.6     0     0   519   534   286   249   113    45   104     0     0     0    81     0    28    60    36     0  20704  20704  212387  212387     0     0     0     0
        3      1  1  1  0 MZ SIMPLE TEMPLAT EXPE SANT0101 SANT7001 IB00000001 1972228 1972288 1972356 1973045 1973045   -99  9597  4222  4222      0  5822  0.3317  1273   181.8  0.44   2.4     0     0   684   580   277   303   161    78   142     0     0     0    88     0    29    62    39     0  20700  20700  212322  212322     0     0     0     0
        4      1  1  1  0 MZ SIMPLE TEMPLAT EXPE SANT0101 SANT7001 IB00000001 1973228 1973288 1973363 1974055 1974055   -99 10114  4816  4816      0  6399  0.3604  1336   190.9  0.48   2.5     0     0   627   569   287   282   153    46   135     0     0     0    95     0    29    66    44     0  20694  20694  212289  212289     0     0     0     0
        5      1  1  1  0 MZ SIMPLE TEMPLAT EXPE SANT0101 SANT7001 IB00000001 1974228 1974288 1974361 1975051 1975051   -99  9296  3907  3907      0  5625  0.2752  1420   202.8  0.42   2.3     0     0   499   497   263   233   112    38   130     0     0     0    82     0    32    57    36     0  20703  20703  212467  212467     0     0     0     0
        6      1  1  1  0 MZ SIMPLE TEMPLAT EXPE SANT0101 SANT7001 IB00000001 1975228 1975288 1975356 1976044 1976044   -99  9137  4143  4143      0  5367  0.3411  1214   173.5  0.45   2.6     0     0   505   538   270   268   100    42   102     0     0     0    80     0    31    57    37     0  20704  20704  212420  212420     0     0     0     0
        7      1  1  1  0 MZ SIMPLE TEMPLAT EXPE SANT0101 SANT7001 IB00000001 1976228 1976288 1976360 1977048 1977048   -99 12121  6342  6342      0  8311  0.3275  1936   276.6  0.52   2.5     0     0   855   645   317   328   220    62   205     0     0     0   117     0    28    86    62     0  20672  20672  211941  211941     0     0     0     0
        8      1  1  1  0 MZ SIMPLE TEMPLAT EXPE SANT0101 SANT7001 IB00000001 1977228 1977288 1977350 1978042 1978042   -99 10433  4631  4631      0  6363  0.3474  1333   190.4  0.44   2.5     0     0   703   599   294   305   181    53   147     0     0     0    92     0    28    66    42     0  20697  20697  212297  212297     0     0     0     0
        9      1  1  1  0 MZ SIMPLE TEMPLAT EXPE SANT0101 SANT7001 IB00000001 1978228 1978288 1978354 1979039 1979039   -99 10992  4951  4951      0  6930  0.2884  1717   245.3  0.45   2.2     0     0   689   587   275   312   151   131    97     0     0     0    88     1    28    66    45     0  20697  20697  212282  212282     0     0     0     0
       10      1  1  1  0 MZ SIMPLE TEMPLAT EXPE SANT0101 SANT7001 IB00000001 1979228 1979288 1979358 1980045 1980045   -99 11507  5883  5883      0  7909  0.2929  2008   286.9  0.51   2.3     0     0   554   563   298   264   111    50   107     0     0     0    99     0    27    75    54     0  20689  20689  212182  212182     0     0     0     0
